euctr_id,other_id,field,provenance
2009-013976-38,NA,US NCT number,download
2009-013976-38,NA,other,downlaod
2009-013976-38,NCT01693393,US NCT number,results_page
2009-013976-38,NA,ISRCTN number,results_page
2009-013458-33,NA,US NCT number,download
2009-013458-33,NA,other,downlaod
2009-013458-33,NA,US NCT number,results_page
2009-013458-33,NA,ISRCTN number,results_page
2009-013432-20,NA,US NCT number,download
2009-013432-20,NA,other,downlaod
2009-013432-20,NA,US NCT number,results_page
2009-013432-20,NA,ISRCTN number,results_page
2009-011922-33,NA,US NCT number,download
2009-011922-33,NA,other,downlaod
2009-011922-33,NCT01047891,US NCT number,results_page
2009-011922-33,NA,ISRCTN number,results_page
2009-009656-20,NA,US NCT number,download
2009-009656-20,NA,other,downlaod
2009-009656-20,NA,US NCT number,results_page
2009-009656-20,NA,ISRCTN number,results_page
2009-009476-12,NA,US NCT number,download
2009-009476-12,NA,other,downlaod
2009-009476-12,NA,US NCT number,results_page
2009-009476-12,NA,ISRCTN number,results_page
2008-008474-31,NA,US NCT number,download
2008-008474-31,NA,other,downlaod
2008-008474-31,NCT02094287,US NCT number,results_page
2008-008474-31,ISRCTN12345678,ISRCTN number,results_page
2008-008232-87,NA,US NCT number,download
2008-008232-87,NA,other,downlaod
2008-008232-87,NA,US NCT number,results_page
2008-008232-87,NA,ISRCTN number,results_page
2008-007237-47,NA,US NCT number,download
2008-007237-47,NA,other,downlaod
2008-007237-47,NA,US NCT number,results_page
2008-007237-47,NA,ISRCTN number,results_page
2008-007031-41,NA,US NCT number,download
2008-007031-41,NA,other,downlaod
2008-007031-41,NA,US NCT number,results_page
2008-007031-41,NA,ISRCTN number,results_page
2008-006135-12,NA,US NCT number,download
2008-006135-12,NA,other,downlaod
2008-006135-12,NA,US NCT number,results_page
2008-006135-12,NA,ISRCTN number,results_page
2008-005786-60,NA,US NCT number,download
2008-005786-60,NA,other,downlaod
2008-005786-60,NA,US NCT number,results_page
2008-005786-60,NA,ISRCTN number,results_page
2008-005746-22,NA,US NCT number,download
2008-005746-22,NA,other,downlaod
2008-005746-22,NA,US NCT number,results_page
2008-005746-22,NA,ISRCTN number,results_page
2008-005451-23,NA,US NCT number,download
2008-005451-23,NA,other,downlaod
2008-005451-23,NA,US NCT number,results_page
2008-005451-23,NA,ISRCTN number,results_page
2008-005213-22,NA,US NCT number,download
2008-005213-22,NA,other,downlaod
2008-005213-22,NCT00799890,US NCT number,results_page
2008-005213-22,NA,ISRCTN number,results_page
2008-005167-33,NA,US NCT number,download
2008-005167-33,NA,other,downlaod
2008-005167-33,NA,US NCT number,results_page
2008-005167-33,NA,ISRCTN number,results_page
2008-004182-26,NA,US NCT number,download
2008-004182-26,NA,other,downlaod
2008-004182-26,NA,US NCT number,results_page
2008-004182-26,NA,ISRCTN number,results_page
2008-003256-29,NA,US NCT number,download
2008-003256-29,NA,other,downlaod
2008-003256-29,NA,US NCT number,results_page
2008-003256-29,NA,ISRCTN number,results_page
2008-002226-11,NA,US NCT number,download
2008-002226-11,NA,other,downlaod
2008-002226-11,NA,US NCT number,results_page
2008-002226-11,NA,ISRCTN number,results_page
2008-001849-26,NA,US NCT number,download
2008-001849-26,NA,other,downlaod
2008-001849-26,NA,US NCT number,results_page
